Time,balance-total,balance-goods,balance-service,exports-total,exports-goods,exports-service,imports-total,imports-goods,imports-service
March,"-37,259","-57,654","20,395","178,543","116,999","61,544","215,802","174,653","41,150"
April,"-38,544","-58,783","20,239","181,570","119,861","61,709","220,115","178,644","41,471"
May,"-42,189","-62,824","20,635","181,297","119,285","62,011","223,485","182,109","41,376"
June,"-45,073","-66,182","21,109","182,723","120,294","62,429","227,796","186,476","41,320"
July,"-39,691","-60,683","20,992","186,444","123,770","62,673","226,134","184,453","41,681"
August,"-40,513","-60,558","20,044","188,326","125,047","63,279","228,839","185,604","43,235"
September,"-36,026","-57,411","21,385","190,210","126,329","63,881","226,236","183,740","42,496"
October,"-42,577","-63,538","20,961","186,398","122,783","63,615","228,975","186,321","42,654"
November,"-45,484","-66,900","21,416","185,995","122,090","63,905","231,478","188,990","42,489"
December,"-44,259","-65,704","21,445","191,014","126,853","64,161","235,273","192,557","42,716"
2017,,,,,,,,,
Jan. - Mar.,"-135,638","-200,204","64,566","576,153","382,732","193,420","711,791","582,936","128,854"
January      ,"-48,173","-69,542","21,370","192,512","128,112","64,400","240,685","197,654","43,031"
February (R),"-43,760","-65,153","21,394","192,655","128,338","64,317","236,414","193,491","42,923"
March,"-43,706","-65,509","21,803","190,986","126,282","64,703","234,692","191,791","42,901"
April,,,,,,,,,
May,,,,,,,,,
June,,,,,,,,,
July,,,,,,,,,
August,,,,,,,,,
September,,,,,,,,,
October,,,,,,,,,
November,,,,,,,,,
December,,,,,,,,,
,,,,,,,,,
(1) Data presented on a Balance of Payments (BOP) Basis.,,,,,,,,,
"Source: U.S. Census Bureau, Economic Indicators Division.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
